5.000000000000000000e+01,5.000000000000000000e+01,9.539425524560645897e+01
7.429871174152739854e+01,5.238786565016469865e+01,9.474270704870974669e+01
9.802805554045849590e+01,5.607850731244239739e+01,9.469175226186878547e+01
1.206186634541970477e+02,6.237470099894604658e+01,9.558262696371375000e+01
1.415011675401468096e+02,7.257922272178865342e+01,9.618319334628301931e+01
1.602400506936034219e+02,8.772443856332188261e+01,9.636530113526094965e+01
1.772896361801682019e+02,1.070450293928444552e+02,9.646875896916584736e+01
1.934672507378056139e+02,1.290423243501423940e+02,9.612700930889928941e+01
2.095912919111831343e+02,1.522154892955636569e+02,9.731530774143240592e+01
2.264203858367193050e+02,1.750807058724947183e+02,9.719570264905703993e+01
2.440183160299377505e+02,1.963519642021435914e+02,9.699935156450825957e+01
2.620005804444946307e+02,2.148708727785066799e+02,9.660106557023587470e+01
2.799752056080149600e+02,2.294811670684603371e+02,9.640879472098509950e+01
2.975425377371776676e+02,2.390489539639283407e+02,9.587179698665960359e+01
3.141262758968990738e+02,2.429548831329343273e+02,9.617856009636111025e+01
3.289734720003335724e+02,2.410941470196015644e+02,9.646883348117016510e+01
3.413234976496892727e+02,2.333843094931010853e+02,9.734841557211630914e+01
3.504411091776976264e+02,2.197733216330234995e+02,9.729907624489186446e+01
3.571141467484944201e+02,2.020323671441382771e+02,9.660582294229237732e+01
3.644912304648919417e+02,1.847586403002418649e+02,9.581682315233975089e+01
3.759240582738894432e+02,1.727924330584876600e+02,9.578848601591762701e+01
3.947574220556787168e+02,1.709679863756503551e+02,9.788787944248224449e+01
4.219949570425262664e+02,1.820682520800667987e+02,1.013946672814789594e+02
4.529013569492204283e+02,2.038478006852303679e+02,1.033304139938609296e+02
4.818780571395445804e+02,2.333048276572751263e+02,1.018347513580639543e+02
5.033264929772818164e+02,2.674375284623354219e+02,9.915849326951313003e+01
5.132286900548497215e+02,3.036122099714237947e+02,9.793854433811762306e+01
5.138890348792016312e+02,3.406676246750663495e+02,9.899896987535831272e+01
5.091925041859252588e+02,3.778106364686682355e+02,1.011104692011982706e+02
5.030240747106080335e+02,4.142481092476340336e+02,1.018321922302428533e+02
4.988176335878393957e+02,4.491708810630822768e+02,1.026051722266120549e+02
4.970082242847738030e+02,4.816632501533194386e+02,1.012102869635944984e+02
4.968075352706588887e+02,5.107660526669480987e+02,9.984692326986005639e+01
4.974236462979345106e+02,5.355199965458166389e+02,9.914542789582401383e+01
4.980662315804188438e+02,5.551262035162746997e+02,9.880949914426096825e+01
4.979635009454556780e+02,5.706506055494975271e+02,9.887572528725564780e+01
4.963556226807278904e+02,5.843622380004192109e+02,9.904429895804510409e+01
4.924829643815903069e+02,5.985501879470361928e+02,9.928577200353231547e+01
4.856503764052809515e+02,6.154283717132093443e+02,1.001209784969658614e+02
4.766458126323388456e+02,6.354817782776641479e+02,1.005032091890946333e+02
4.677403304666047461e+02,6.574664692739912653e+02,1.003763197245066294e+02
4.612694700738020970e+02,6.800633355816456742e+02,9.976712149962253307e+01
4.595504613389867927e+02,7.019694564996963209e+02,9.875587184410852615e+01
4.638019173071651835e+02,7.228532165040892323e+02,9.830400976482209785e+01
4.735395949212676783e+02,7.438885230949289280e+02,9.798391961648400184e+01
4.881327688788846331e+02,7.663787911292375838e+02,9.776456102895765810e+01
5.069503476644077864e+02,7.916247464664450035e+02,9.786904883948012923e+01
5.292370934879307924e+02,8.200155447824705561e+02,9.785563961700019320e+01
5.539334453915782888e+02,8.497057847547160918e+02,9.913424814083678882e+01
5.799340657676593764e+02,8.785139403616483378e+02,9.946503791527217686e+01
6.061336170084838386e+02,9.042584855817344760e+02,1.004365557902016803e+02
6.314969551992883225e+02,9.250187402270922803e+02,1.005685662118003592e+02
6.552697111970190917e+02,9.399174074444449616e+02,1.002586003842692861e+02
6.767677095515496148e+02,9.483380362141666637e+02,9.994676624170462276e+01
6.953067748127533605e+02,9.496641755166314169e+02,9.990067961225651061e+01
7.103610081324122802e+02,9.435521430920347257e+02,1.004248966119411079e+02
7.224567335117980065e+02,9.314716233958631619e+02,1.007688942080344248e+02
7.325495210965577826e+02,9.156320497602392834e+02,1.004866470189824952e+02
7.415962072451542326e+02,8.982450376673637038e+02,9.962690776862520181e+01
7.505314926890149536e+02,8.814771835149570052e+02,9.931231279718406313e+01
7.600327514952913361e+02,8.669717368436612333e+02,9.799804119473756714e+01
7.706113405283734892e+02,8.560343040605189344e+02,9.748847146482390258e+01
7.827758496992736355e+02,8.499648641870126085e+02,9.694957600296140754e+01
7.970097667034060578e+02,8.500086939206890975e+02,9.762819285746323317e+01
8.132192282774658452e+02,8.561529165085801196e+02,9.711331878380963190e+01
8.307330201994296885e+02,8.671265017472019281e+02,9.657969115071864508e+01
8.488548260316758842e+02,8.816037171091350046e+02,9.717360778075862981e+01
8.668889430336214446e+02,8.982563521028910145e+02,9.557003927379614083e+01
8.841764902869515481e+02,9.156075183928379602e+02,9.449843498409406095e+01
9.001156606978661330e+02,9.319498769849190012e+02,9.377796481429894015e+01
9.141095567488679308e+02,9.455562651725255137e+02,9.372189909576243849e+01
9.255623043779157797e+02,9.547019459799087144e+02,9.392192440019158539e+01
9.342249809227098467e+02,9.584845051928676867e+02,9.345778479898518754e+01
9.406991552052697898e+02,9.580173109418814192e+02,9.322596227190894069e+01
9.457143279796739535e+02,9.547169477149316208e+02,9.322596227190894069e+01
9.500000000000000000e+02,9.500000000000000000e+02,9.323384739821156586e+01
